# file...... /home/daviddiaz/Documents/react/backend-simulador/uploads/66a7ee75e0a2800466cf3b80/records/data_solar.csv
# date...... Mon Jul 29 13:45:27 2024
# user...... daviddiaz
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,P_Out, Q_Out, V_In
2009-01-01 00:15:20 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:25 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:30 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:35 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:40 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:45 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:50 PST,+0,-0,+27.2717+0i
2009-01-01 00:15:55 PST,+0,-0,+27.2717+0i
2009-01-01 00:16:00 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:05 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:10 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:15 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:20 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:25 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:30 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:35 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:40 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:45 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:50 PST,+0,-0,+27.2718+0i
2009-01-01 00:16:55 PST,+0,-0,+27.2718+0i
2009-01-01 00:17:00 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:05 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:10 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:15 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:20 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:25 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:30 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:35 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:40 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:45 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:50 PST,+0,-0,+27.2719+0i
2009-01-01 00:17:55 PST,+0,-0,+27.2719+0i
2009-01-01 00:18:00 PST,+0,-0,+27.272+0i
2009-01-01 00:18:05 PST,+0,-0,+27.272+0i
2009-01-01 00:18:10 PST,+0,-0,+27.272+0i
2009-01-01 00:18:15 PST,+0,-0,+27.272+0i
2009-01-01 00:18:20 PST,+0,-0,+27.272+0i
2009-01-01 00:18:25 PST,+0,-0,+27.272+0i
2009-01-01 00:18:30 PST,+0,-0,+27.272+0i
2009-01-01 00:18:35 PST,+0,-0,+27.272+0i
2009-01-01 00:18:40 PST,+0,-0,+27.272+0i
2009-01-01 00:18:45 PST,+0,-0,+27.272+0i
2009-01-01 00:18:50 PST,+0,-0,+27.272+0i
2009-01-01 00:18:55 PST,+0,-0,+27.272+0i
2009-01-01 00:19:00 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:05 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:10 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:15 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:20 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:25 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:30 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:35 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:40 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:45 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:50 PST,+0,-0,+27.2721+0i
2009-01-01 00:19:55 PST,+0,-0,+27.2721+0i
2009-01-01 00:20:00 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:05 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:10 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:15 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:20 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:25 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:30 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:35 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:40 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:45 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:50 PST,+0,-0,+27.2722+0i
2009-01-01 00:20:55 PST,+0,-0,+27.2722+0i
2009-01-01 00:21:00 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:05 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:10 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:15 PST,+0,-0,+27.2723+0i
